35.94	34.72	33.50	32.27	31.05	29.82	28.60	27.37	26.15	24.92	23.70	22.48	21.25	20.03	18.80	17.58	16.35	15.13	13.91	12.68
35.87	34.64	33.42	32.19	30.97	29.75	28.52	27.30	26.07	24.85	23.62	22.40	21.18	19.95	18.73	17.50	16.28	15.05	13.83	12.60
35.79	34.57	33.34	32.12	30.89	29.67	28.45	27.22	26.00	24.77	23.55	22.32	21.10	19.88	18.65	17.43	16.20	14.98	13.75	12.53
35.72	34.49	33.27	32.04	30.82	29.60	28.37	27.15	25.92	24.70	23.47	22.25	21.03	19.80	18.58	17.35	16.13	14.90	13.68	12.45
35.64	34.42	33.19	31.97	30.74	29.52	28.29	27.07	25.85	24.62	23.40	22.17	20.95	19.72	18.50	17.28	16.05	14.83	13.60	12.38
35.57	34.34	33.12	31.89	30.67	29.44	28.22	27.00	25.77	24.55	23.32	22.10	20.87	19.65	18.42	17.20	15.98	14.75	13.53	12.30
35.49	34.27	33.04	31.82	30.59	29.37	28.14	26.92	25.70	24.47	23.25	22.02	20.80	19.57	18.35	17.13	15.90	14.68	13.45	12.23
35.41	34.19	32.97	31.74	30.52	29.29	28.07	26.84	25.62	24.39	23.17	21.95	20.72	19.50	18.27	17.05	15.82	14.60	13.38	12.15
35.34	34.11	32.89	31.67	30.44	29.22	27.99	26.77	25.54	24.32	23.10	21.87	20.65	19.42	18.20	16.97	15.75	14.53	13.30	12.08
35.26	34.04	32.81	31.59	30.37	29.14	27.92	26.69	25.47	24.24	23.02	21.80	20.57	19.35	18.12	16.90	15.67	14.45	13.23	12.00
35.19	33.96	32.74	31.51	30.29	29.07	27.84	26.62	25.39	24.17	22.94	21.72	20.50	19.27	18.05	16.82	15.60	14.37	13.15	11.92
35.11	33.89	32.66	31.44	30.21	28.99	27.77	26.54	25.32	24.09	22.87	21.64	20.42	19.20	17.97	16.75	15.52	14.30	13.07	11.85
35.04	33.81	32.59	31.36	30.14	28.91	27.69	26.47	25.24	24.02	22.79	21.57	20.34	19.12	17.90	16.67	15.45	14.22	13.00	11.77
34.96	33.74	32.51	31.29	30.06	28.84	27.61	26.39	25.17	23.94	22.72	21.49	20.27	19.04	17.82	16.60	15.37	14.15	12.92	11.70
34.89	33.66	32.44	31.21	29.99	28.76	27.54	26.32	25.09	23.87	22.64	21.42	20.19	18.97	17.74	16.52	15.30	14.07	12.85	11.62
