37.57	36.40	35.23	34.07	32.90	31.73	30.57	29.40	28.23	27.07	25.90	24.73	23.57	22.40	21.23	20.07	18.90	17.74	16.57	15.40
37.49	36.33	35.16	33.99	32.83	31.66	30.49	29.33	28.16	26.99	25.83	24.66	23.49	22.33	21.16	19.99	18.83	17.66	16.49	15.33
37.42	36.25	35.09	33.92	32.75	31.59	30.42	29.25	28.09	26.92	25.75	24.59	23.42	22.25	21.09	19.92	18.75	17.59	16.42	15.25
37.34	36.18	35.01	33.84	32.68	31.51	30.34	29.18	28.01	26.84	25.68	24.51	23.35	22.18	21.01	19.85	18.68	17.51	16.35	15.18
37.27	36.10	34.94	33.77	32.60	31.44	30.27	29.10	27.94	26.77	25.60	24.44	23.27	22.10	20.94	19.77	18.60	17.44	16.27	15.10
37.20	36.03	34.86	33.70	32.53	31.36	30.20	29.03	27.86	26.70	25.53	24.36	23.20	22.03	20.86	19.70	18.53	17.36	16.20	15.03
37.12	35.95	34.79	33.62	32.45	31.29	30.12	28.96	27.79	26.62	25.46	24.29	23.12	21.96	20.79	19.62	18.46	17.29	16.12	14.96
37.05	35.88	34.71	33.55	32.38	31.21	30.05	28.88	27.71	26.55	25.38	24.21	23.05	21.88	20.71	19.55	18.38	17.22	16.05	14.88
36.97	35.81	34.64	33.47	32.31	31.14	29.97	28.81	27.64	26.47	25.31	24.14	22.97	21.81	20.64	19.47	18.31	17.14	15.97	14.81
36.90	35.73	34.57	33.40	32.23	31.07	29.90	28.73	27.57	26.40	25.23	24.07	22.90	21.73	20.57	19.40	18.23	17.07	15.90	14.73
36.82	35.66	34.49	33.32	32.16	30.99	29.82	28.66	27.49	26.32	25.16	23.99	22.83	21.66	20.49	19.33	18.16	16.99	15.83	14.66
36.75	35.58	34.42	33.25	32.08	30.92	29.75	28.58	27.42	26.25	25.08	23.92	22.75	21.58	20.42	19.25	18.08	16.92	15.75	14.58
36.68	35.51	34.34	33.18	32.01	30.84	29.68	28.51	27.34	26.18	25.01	23.84	22.68	21.51	20.34	19.18	18.01	16.84	15.68	14.51
36.60	35.43	34.27	33.10	31.93	30.77	29.60	28.44	27.27	26.10	24.94	23.77	22.60	21.44	20.27	19.10	17.94	16.77	15.60	14.44
36.53	35.36	34.19	33.03	31.86	30.69	29.53	28.36	27.19	26.03	24.86	23.69	22.53	21.36	20.19	19.03	17.86	16.70	15.53	14.36
36.45	35.29	34.12	32.95	31.79	30.62	29.45	28.29	27.12	25.95	24.79	23.62	22.45	21.29	20.12	18.95	17.79	16.62	15.45	14.29
36.38	35.21	34.05	32.88	31.71	30.55	29.38	28.21	27.05	25.88	24.71	23.55	22.38	21.21	20.05	18.88	17.71	16.55	15.38	14.21
36.30	35.14	33.97	32.80	31.64	30.47	29.30	28.14	26.97	25.80	24.64	23.47	22.31	21.14	19.97	18.81	17.64	16.47	15.31	14.14
36.23	35.06	33.90	32.73	31.56	30.40	29.23	28.06	26.90	25.73	24.56	23.40	22.23	21.06	19.90	18.73	17.56	16.40	15.23	14.06
36.16	34.99	33.82	32.66	31.49	30.32	29.16	27.99	26.82	25.66	24.49	23.32	22.16	20.99	19.82	18.66	17.49	16.32	15.16	13.99
36.08	34.91	33.75	32.58	31.41	30.25	29.08	27.92	26.75	25.58	24.42	23.25	22.08	20.92	19.75	18.58	17.42	16.25	15.08	13.92
36.01	34.84	33.67	32.51	31.34	30.17	29.01	27.84	26.67	25.51	24.34	23.17	22.01	20.84	19.67	18.51	17.34	16.18	15.01	13.84
35.93	34.77	33.60	32.43	31.27	30.10	28.93	27.77	26.60	25.43	24.27	23.10	21.93	20.77	19.60	18.43	17.27	16.10	14.93	13.77
35.86	34.69	33.53	32.36	31.19	30.03	28.86	27.69	26.53	25.36	24.19	23.03	21.86	20.69	19.53	18.36	17.19	16.03	14.86	13.69
35.78	34.62	33.45	32.28	31.12	29.95	28.78	27.62	26.45	25.28	24.12	22.95	21.79	20.62	19.45	18.29	17.12	15.95	14.79	13.62
35.71	34.54	33.38	32.21	31.04	29.88	28.71	27.54	26.38	25.21	24.04	22.88	21.71	20.54	19.38	18.21	17.04	15.88	14.71	13.54
35.64	34.47	33.30	32.14	30.97	29.80	28.64	27.47	26.30	25.14	23.97	22.80	21.64	20.47	19.30	18.14	16.97	15.80	14.64	13.47
35.56	34.39	33.23	32.06	30.89	29.73	28.56	27.40	26.23	25.06	23.90	22.73	21.56	20.40	19.23	18.06	16.90	15.73	14.56	13.40
35.49	34.32	33.15	31.99	30.82	29.65	28.49	27.32	26.15	24.99	23.82	22.65	21.49	20.32	19.15	17.99	16.82	15.66	14.49	13.32
35.41	34.25	33.08	31.91	30.75	29.58	28.41	27.25	26.08	24.91	23.75	22.58	21.41	20.25	19.08	17.91	16.75	15.58	14.41	13.25
35.34	34.17	33.01	31.84	30.67	29.51	28.34	27.17	26.01	24.84	23.67	22.51	21.34	20.17	19.01	17.84	16.67	15.51	14.34	13.17
35.26	34.10	32.93	31.76	30.60	29.43	28.26	27.10	25.93	24.76	23.60	22.43	21.27	20.10	18.93	17.77	16.60	15.43	14.27	13.10
35.19	34.02	32.86	31.69	30.52	29.36	28.19	27.02	25.86	24.69	23.52	22.36	21.19	20.02	18.86	17.69	16.52	15.36	14.19	13.02
35.12	33.95	32.78	31.62	30.45	29.28	28.12	26.95	25.78	24.62	23.45	22.28	21.12	19.95	18.78	17.62	16.45	15.28	14.12	12.95
35.04	33.87	32.71	31.54	30.37	29.21	28.04	26.88	25.71	24.54	23.38	22.21	21.04	19.88	18.71	17.54	16.38	15.21	14.04	12.88
34.97	33.80	32.63	31.47	30.30	29.13	27.97	26.80	25.63	24.47	23.30	22.13	20.97	19.80	18.63	17.47	16.30	15.14	13.97	12.80
34.89	33.73	32.56	31.39	30.23	29.06	27.89	26.73	25.56	24.39	23.23	22.06	20.89	19.73	18.56	17.39	16.23	15.06	13.89	12.73
34.82	33.65	32.49	31.32	30.15	28.99	27.82	26.65	25.49	24.32	23.15	21.99	20.82	19.65	18.49	17.32	16.15	14.99	13.82	12.65
34.74	33.58	32.41	31.24	30.08	28.91	27.74	26.58	25.41	24.24	23.08	21.91	20.75	19.58	18.41	17.25	16.08	14.91	13.75	12.58
