DateTime , New SMT-A2 Sensor (9136/3) , New SMT-A2 Sensor (9136/4) , Internal Temperature (9136/5) , Internal RH (9136/6) , Battery (9136/7) , Temperature 4ft (9136/17) , PLY 2 - BOTTOM CORNER (9136/18) , PLY 6 - BOTTOM CORNER (9136/19) , PLY 1 - BOTTOM CORNER (9136/20) , PLY 7 - BOTTOM CORNER (9136/21) , PLY 5 - MIDDLE PANEL (9136/22) ," PLY 4 - EDGE BY HARDWARE - 2"" IN (9136/23) "," PLY 2 - EDGE BY HARDWARE - 6"" IN (9136/24) "
11/28/2017 8:00, NULL , NULL ,23.91327266,31.0235,4128,23.46944016,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 9:00, NULL , NULL ,23.48327491,32.73988889,4123.494444,22.16608562,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 10:00, NULL , NULL ,19.912448,44.52327273,4114.090909,16.2637546,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 11:00, NULL , NULL ,21.39402863,40.56,4134,21.51042898,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 12:00, NULL , NULL ,22.085471,39.88,4150,22.04037462,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 13:00, NULL , NULL ,23.028667,42.39230769,4156.307692,22.58572231,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 14:00, NULL , NULL ,23.27546838,40.54076923,4158.692308,23.1384653,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 15:00, NULL , NULL ,23.3208685,40.115,4167,23.38701981,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 16:00, NULL , NULL ,22.96564939,37.66,4167,22.96944073,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 17:00, NULL , NULL ,22.29341605,38.03,4175,22.13240532,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 18:00, NULL , NULL ,22.05253748,38.1,4175,21.92499211,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 19:00, NULL , NULL ,22.07088341,37.94,4183,21.9687683,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
